2025-08-28T19:38:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=36": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:39:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=37": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:40:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=38": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:41:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=39": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:42:08-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=40": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:43:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=41": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:44:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=42": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:45:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=43": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:46:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=44": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:47:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=45": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:48:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=46": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:49:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=47": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:50:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=48": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:51:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=49": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:52:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=50": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:53:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=51": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:54:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=52": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:55:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=53": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:56:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=54": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T19:57:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=19&minute=55": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
