2025-08-28T21:02:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=00": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:03:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=01": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:04:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=02": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:05:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=03": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:06:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=04": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:07:08-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=05": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:08:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=06": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:09:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=07": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:10:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=08": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:11:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=09": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:12:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=10": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:13:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=11": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:14:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=12": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:15:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=13": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:16:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=14": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:17:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=15": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:18:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=16": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:19:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=17": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:20:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=18": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:21:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=19": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:22:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=20": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:23:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=21": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:24:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=22": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:25:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=23": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:26:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=24": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:27:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=25": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:28:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=26": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:29:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=27": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:30:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=28": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:31:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=29": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:32:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=30": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:33:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=31": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:34:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=32": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:35:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=33": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:36:08-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=34": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:37:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=35": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:38:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=36": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:39:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=37": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:40:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=38": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:41:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=39": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:42:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=40": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:43:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=41": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:44:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=42": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:45:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=43": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:46:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=44": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:47:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=45": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:48:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=46": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:49:08-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=47": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:50:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=48": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:51:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=49": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:52:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=50": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:53:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=51": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:54:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=52": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:55:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=53": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:56:14-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=54": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:57:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=55": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:58:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=56": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T21:59:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=57": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:00:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=58": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:01:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=21&minute=59": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:02:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=00": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:03:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=01": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:04:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=02": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:05:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=03": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:06:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=04": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:07:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=05": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:08:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=06": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:09:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=07": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:10:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=08": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:11:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=09": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:12:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=10": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:13:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=11": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:14:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=12": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:15:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=13": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:16:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=14": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:17:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=15": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:18:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=16": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:19:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=17": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:20:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=18": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:21:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=19": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:22:08-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=20": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:23:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=21": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:24:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=22": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:25:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=23": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:26:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=24": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:27:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=25": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:28:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=26": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:29:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=27": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:30:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=28": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:31:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=29": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:32:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=30": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T22:33:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=22&minute=31": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
